"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","PPD_day7_10mon","branch_number","DM_gravity","DM_raw_10mon","DM_raw_12mon","height_1st_branch","yield_ha","yield_ha_12mon","root_weight_plot","frogskin1-5","HCN_linamarase_10mon","HCN_linamarase_12mon","vigor1-5","lodging1-3","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","PPD_day7_12mon","root_skin_color1-3","root_type1-5","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","cook_time_12mon","cook_time_10mon"
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_AM206-5_17",1,17,"check"," (Operator: lizbethpino, Time: )","AM206-5","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,33.1942927569207,34.710335950619,NA,NA,20.8333333333333,NA,8,NA,NA,NA,NA,NA,NA,16,3,NA,NA,4,NA,NA,3,2920,283,NA,16,35,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_B1PD280-008_2",1,2,"test"," (Operator: lizbethpino, Time: )","B1PD280-008","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,37.3306215722121,39.4763018087492,NA,NA,28.125,NA,10.8,NA,NA,52.5744967192442,NA,NA,NA,16,3,NA,NA,4,NA,NA,3,3100,365,NA,16,30,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_C4_13",1,13,"test"," (Operator: lizbethpino, Time: )","C4","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,39.1079097049413,44.0622996396038,NA,NA,27.8645833333333,NA,10.7,4,NA,39.9836417806401,NA,NA,NA,16,4,NA,NA,4,NA,NA,4,3220,407,NA,16,NA,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CM523-7_15",1,15,"check"," (Operator: lizbethpino, Time: )","CM523-7_is_Catumare","check_released",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,39.5893181818182,41.7975070107661,NA,NA,31.7708333333333,NA,12.2,NA,NA,NA,NA,NA,NA,16,3,NA,NA,4,NA,NA,3,4040,520,NA,16,20,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia","MCOL22","201729PDGN1_ciat_rep1_COL22_16",1,16,"check"," (Operator: lizbethpino, Time: )","COL22","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,36.341760977818,40.1618045148725,NA,NA,37.2395833333333,NA,14.3,NA,NA,NA,NA,NA,NA,16,4,NA,NA,4,NA,NA,4,4980,562,NA,16,35,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR1B-008_1",1,1,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-008","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,40.6996889580093,43.997734133986,NA,NA,14.84375,NA,5.7,NA,NA,51.4553096135905,NA,NA,NA,16,4,NA,NA,4,NA,NA,4,2970,398,NA,16,20,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR1B-015_12",1,12,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-015","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,40.5576923076923,40.6000321211387,NA,NA,23.9583333333333,NA,9.2,NA,NA,20.9574609845274,NA,NA,NA,16,3,NA,NA,4,NA,NA,4,3600,480,NA,16,35,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR1B-027_5",1,5,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-027","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,31.65,37.038469510424,NA,NA,4.94791666666667,NA,1.9,NA,NA,39.4240482278133,NA,NA,NA,16,3,NA,NA,4,NA,NA,2,1800,160,NA,16,30,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR1B-043_4",1,4,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-043","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,37.8510364426613,39.7677916555806,NA,NA,26.5625,NA,10.2,NA,NA,31.5897384882375,NA,NA,NA,16,4,NA,NA,4,NA,NA,2,3400,409,NA,16,60,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR1B-065_9",1,9,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-065","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,37.6299776286353,40.0324551304745,NA,NA,31.5104166666667,NA,12.1,NA,NA,49.2169354022831,NA,NA,NA,16,4,NA,NA,4,NA,NA,4,4060,484,NA,14,20,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR1B-068_3",1,3,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-068","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,39.9623440134907,43.8355994960562,NA,NA,20.8333333333333,NA,8,NA,NA,38.0250643457462,NA,NA,NA,16,3,NA,NA,4,NA,NA,4,3410,445,NA,16,20,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR5B-016_7",1,7,"test"," (Operator: lizbethpino, Time: )","CPDCR5B-016","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,33.2237525354969,38.5089280597325,NA,NA,27.8645833333333,NA,10.7,4,NA,29.9109578297569,NA,NA,NA,16,3,NA,NA,4,NA,NA,4,2730,265,NA,16,20,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR5B-043_6",1,6,"test"," (Operator: lizbethpino, Time: )","CPDCR5B-043","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,37.2190779014308,41.5076459955047,NA,NA,24.7395833333333,NA,9.5,4,NA,32.1493320410643,NA,NA,NA,16,3,NA,NA,4,NA,NA,3,2850,334,NA,16,NA,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR5B-053_11",1,11,"test"," (Operator: lizbethpino, Time: )","CPDCR5B-053","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,38.657225691347,37.3230721891777,NA,NA,29.9479166666667,NA,11.5,NA,NA,29.9109578297569,NA,NA,NA,16,3,NA,NA,4,NA,NA,4,2560,318,NA,10,50,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR5B-069A_10",1,10,"test"," (Operator: lizbethpino, Time: )","CPDCR5B-069A","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,35.3818578916715,35.4928777699872,NA,NA,38.0208333333333,NA,14.6,NA,NA,36.9058772400925,NA,NA,NA,16,4,NA,NA,4,NA,NA,3,3850,416,NA,16,60,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_CPDCR5B-096_8",1,8,"test"," (Operator: lizbethpino, Time: )","CPDCR5B-096","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,35.4835162950257,35.2749860764923,NA,NA,27.6041666666667,NA,10.6,NA,NA,18.9988835496334,NA,NA,NA,16,3,NA,NA,4,NA,NA,3,3270,355,NA,16,60,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_HMC1_18",1,18,"check"," (Operator: lizbethpino, Time: )","HMC1P12_is_HMC1","check_released",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,38.0424348378894,41.547372408045,NA,NA,40.625,NA,15.6,NA,NA,NA,NA,NA,NA,16,5,NA,NA,4,NA,NA,3,3580,434,NA,16,20,NA
2017,"201729PDGN1_ciat","201729PDGN1_ciat",3.84,4,"2017-July-13","2018-July-03","CIAT. Valle, Colombia",NA,"201729PDGN1_ciat_rep1_PER183_14",1,14,"check"," (Operator: lizbethpino, Time: )","PER183","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,34.6103165938864,33.8257632055007,NA,NA,52.6041666666667,NA,20.2,NA,NA,14.2423383506052,NA,NA,NA,16,3,NA,NA,4,NA,NA,4,4090,426,NA,15,20,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_AM206-5_52",1,52,"check"," (Operator: lizbethpino, Time: )","AM206-5","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,3,29.9231865650578,NA,32.1877810104252,60,12.2395833333333,NA,4.7,NA,NA,NA,3,NA,NA,25,4,140,NA,4,NA,NA,4,3850,307,NA,24,41,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_B1PD280-008_1",1,1,"test"," (Operator: lizbethpino, Time: )","B1PD280-008","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,3,36.2508199210446,NA,35.0114080814038,50,38.28125,NA,14.7,NA,NA,127.030282529517,3,NA,NA,25,3,180,NA,4,NA,NA,3,3710,417,NA,25,53,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_C4_48",1,48,"check"," (Operator: lizbethpino, Time: )","C4","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,4,36.7429081913139,NA,39.8417509785672,45,22.9166666666667,NA,8.8,NA,NA,72.5464483735201,4,NA,NA,25,3,120,NA,4,NA,NA,3,4110,472,NA,25,34,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_CM523-7_53",1,53,"check"," (Operator: lizbethpino, Time: )","CM523-7_is_Catumare","check_released",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,3,39.0616743471582,NA,41.6138849622217,65,26.8229166666667,NA,10.3,NA,NA,NA,2,NA,NA,25,2,175,NA,4,NA,NA,3,2980,376,NA,25,23,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia","MCOL22","201835PDGN1_ciat_rep1_COL22_50",1,50,"check"," (Operator: lizbethpino, Time: )","COL22","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,2,35.6698243412798,NA,37.0268258615833,65,27.34375,NA,10.5,NA,NA,NA,4,NA,NA,25,3,130,NA,4,NA,NA,3,3580,392,NA,23,46,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_CPDCR1B-002_2",1,2,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-002","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,4,32.9441328175371,NA,33.0951857426766,30,26.0416666666667,NA,10,NA,NA,41.647179365838,2,NA,NA,25,3,150,NA,4,NA,NA,3,3430,328,NA,25,29,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_CPDCR1B-008_3",1,3,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-008","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,4,36.8310047095761,NA,39.2651779025419,20,23.9583333333333,NA,9.2,NA,NA,86.8105382244584,3,NA,NA,25,5,145,NA,4,NA,NA,3,2880,332,NA,25,34,NA
2022,"201835PDGN1_ciat","201835PDGN1_ciat",6,4,"2018-July-16","2019-July-10","CIAT. Valle, Colombia",NA,"201835PDGN1_ciat_rep1_CPDCR1B-013_4",1,4,"test"," (Operator: lizbethpino, Time: )","CPDCR1B-013","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,4,38.1172227099795,NA,41.1696188045499,65,32.5520833333333,NA,12.5,NA,NA,106.532492211181,1,NA,NA,25,3,185,NA,4,NA,NA,3,3890,473,NA,25,46,NA
